abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
SC,South Carolina,2231.0,825.0,1830.0,1159.0,6681.0,2383.0,6180.0,394.0,606.0,13655.0,15748.0,716.0,450.0,3030.0,2728.0,461.0,854.0,2167.0,1742.0,2728.0,4612.0,5032.0,6700.0,1898.0,1175.0,1745.0,174.0,245.0,541.0,1878.0,10636.0,581.0,19776.0,28465.0,245.0,6056.0,1109.0,501.0,15120.0,1518.0,N/A,384.0,3808.0,6469.0,518.0,484.0,8031.0,2423.0,1508.0,2152.0,106.0
SD,South Dakota,25.0,364.0,1062.0,81.0,1982.0,1316.0,12.0,0.0,6.0,519.0,198.0,22.0,98.0,461.0,443.0,2845.0,613.0,46.0,106.0,0.0,100.0,206.0,550.0,8912.0,40.0,288.0,487.0,2226.0,319.0,40.0,44.0,188.0,692.0,299.0,2067.0,247.0,278.0,251.0,406.0,116.0,239.0,N/A,494.0,1482.0,350.0,52.0,513.0,623.0,69.0,1090.0,1513.0
TN,Tennessee,9453.0,1274.0,2419.0,5216.0,9088.0,1934.0,1616.0,262.0,539.0,16744.0,15573.0,956.0,876.0,8718.0,5833.0,895.0,1932.0,11856.0,3162.0,2118.0,1883.0,4312.0,10790.0,3006.0,9433.0,3468.0,300.0,535.0,672.0,650.0,2476.0,339.0,10328.0,9494.0,225.0,5858.0,2041.0,756.0,5736.0,510.0,4552.0,265.0,N/A,10915.0,573.0,660.0,7339.0,2026.0,1888.0,3276.0,213.0
TX,Texas,7849.0,5659.0,18576.0,13827.0,65031.0,19108.0,5420.0,1240.0,1350.0,33506.0,19245.0,4454.0,2087.0,22709.0,8736.0,5805.0,10805.0,5935.0,27908.0,2540.0,9052.0,11990.0,20852.0,11572.0,8989.0,14383.0,1450.0,4675.0,7949.0,2860.0,16902.0,17402.0,42318.0,16429.0,1120.0,11279.0,27155.0,4020.0,22934.0,2868.0,6556.0,1368.0,13699.0,N/A,6048.0,636.0,17719.0,10944.0,1829.0,11042.0,2120.0
UT,Utah,379.0,1730.0,7746.0,670.0,17144.0,5012.0,766.0,92.0,208.0,2519.0,1461.0,1424.0,6946.0,1261.0,731.0,725.0,495.0,274.0,463.0,398.0,556.0,2600.0,2382.0,1250.0,648.0,1712.0,1555.0,441.0,5688.0,398.0,1394.0,1172.0,4732.0,1293.0,377.0,1511.0,1064.0,2831.0,3036.0,376.0,597.0,280.0,979.0,5852.0,N/A,326.0,1776.0,4653.0,65.0,1876.0,2692.0
VT,Vermont,44.0,54.0,119.0,4.0,986.0,484.0,1357.0,29.0,115.0,958.0,139.0,39.0,56.0,252.0,47.0,91.0,16.0,285.0,23.0,782.0,535.0,3596.0,252.0,74.0,15.0,76.0,209.0,39.0,50.0,2992.0,982.0,70.0,3396.0,414.0,20.0,237.0,11.0,181.0,897.0,383.0,113.0,144.0,156.0,378.0,164.0,N/A,414.0,362.0,43.0,51.0,57.0
VA,Virginia,3090.0,1826.0,3136.0,533.0,17759.0,4228.0,7202.0,1326.0,10690.0,20979.0,9318.0,3260.0,467.0,6770.0,2700.0,688.0,1559.0,3588.0,2206.0,2096.0,27162.0,9212.0,6524.0,4508.0,1431.0,2642.0,305.0,943.0,1118.0,1268.0,18062.0,1050.0,32910.0,22470.0,656.0,6732.0,2066.0,912.0,28158.0,2988.0,7602.0,102.0,6707.0,14260.0,2036.0,1048.0,N/A,4429.0,6283.0,3116.0,151.0
WA,Washington,1185.0,4540.0,10620.0,1381.0,44693.0,7429.0,2990.0,206.0,501.0,8644.0,5180.0,4702.0,10706.0,5763.0,1561.0,1341.0,2234.0,1381.0,1006.0,1108.0,2459.0,5760.0,6230.0,6074.0,671.0,2952.0,4142.0,850.0,4553.0,832.0,4948.0,1493.0,11744.0,4544.0,1052.0,3089.0,2150.0,28571.0,5120.0,600.0,2393.0,1061.0,2363.0,13783.0,5290.0,812.0,4867.0,N/A,405.0,4716.0,706.0
WV,West Virginia,329.0,596.0,116.0,162.0,1371.0,367.0,728.0,242.0,585.0,2372.0,1099.0,34.0,88.0,303.0,586.0,37.0,60.0,2025.0,72.0,266.0,6502.0,252.0,1442.0,254.0,98.0,290.0,85.0,34.0,97.0,318.0,1746.0,113.0,2182.0,2690.0,70.0,7429.0,227.0,100.0,9794.0,48.0,1013.0,31.0,1201.0,1162.0,150.0,82.0,6413.0,156.0,N/A,442.0,54.0
WI,Wisconsin,495.0,447.0,3009.0,521.0,5672.0,1839.0,485.0,68.0,220.0,4192.0,1243.0,483.0,431.0,27130.0,2489.0,4708.0,640.0,768.0,501.0,289.0,729.0,719.0,5127.0,18106.0,465.0,1542.0,374.0,507.0,909.0,175.0,812.0,456.0,1987.0,2116.0,572.0,2503.0,928.0,831.0,1496.0,110.0,801.0,426.0,1616.0,4054.0,723.0,80.0,1709.0,1567.0,117.0,N/A,234.0
WY,Wyoming,161.0,279.0,1091.0,199.0,2336.0,5171.0,78.0,6.0,8.0,716.0,292.0,127.0,1068.0,521.0,296.0,259.0,284.0,115.0,279.0,360.0,118.0,306.0,806.0,818.0,21.0,410.0,1479.0,951.0,359.0,0.0,144.0,563.0,800.0,207.0,574.0,332.0,421.0,911.0,996.0,6.0,69.0,950.0,159.0,2054.0,1844.0,34.0,209.0,1304.0,36.0,954.0,N/A
