abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total_imm,total_emm
PA,Pennsylvania,1532.0,471.0,4327.0,613.0,12191.0,4338.0,3471.0,9818.0,2140.0,29318.0,7381.0,855.0,438.0,5323.0,2208.0,1030.0,878.0,2127.0,964.0,1566.0,13876.0,7058.0,3572.0,1122.0,771.0,2531.0,521.0,655.0,1653.0,1599.0,21714.0,760.0,23119.0,12547.0,260.0,14627.0,1186.0,1723.0,N/A,1016.0,7560.0,203.0,2868.0,11467.0,1518.0,897.0,14079.0,2560.0,4897.0,1496.0,498.0,229938.0,249342.0
RI,Rhode Island,28.0,14.0,688.0,18.0,1707.0,169.0,3191.0,24.0,563.0,3338.0,499.0,216.0,0.0,387.0,102.0,29.0,42.0,15.0,206.0,755.0,537.0,8282.0,317.0,206.0,46.0,319.0,10.0,123.0,192.0,1037.0,512.0,17.0,2136.0,767.0,41.0,611.0,189.0,158.0,970.0,N/A,759.0,58.0,255.0,1434.0,188.0,383.0,1494.0,300.0,24.0,110.0,3.0,34131.0,33469.0
SC,South Carolina,2293.0,568.0,1319.0,270.0,5254.0,2048.0,2032.0,496.0,645.0,13223.0,15712.0,954.0,244.0,1548.0,1223.0,525.0,586.0,1192.0,1377.0,728.0,2022.0,2816.0,4412.0,1448.0,1037.0,1985.0,144.0,427.0,819.0,260.0,3574.0,675.0,10882.0,26190.0,132.0,2293.0,985.0,542.0,6028.0,986.0,N/A,239.0,4552.0,6556.0,597.0,226.0,7602.0,2393.0,1013.0,1602.0,69.0,200458.0,144743.0
SD,South Dakota,154.0,211.0,1850.0,154.0,1094.0,1323.0,172.0,4.0,26.0,885.0,197.0,124.0,543.0,290.0,206.0,1682.0,250.0,165.0,168.0,14.0,132.0,184.0,594.0,8664.0,26.0,674.0,282.0,2385.0,308.0,0.0,390.0,301.0,356.0,723.0,2014.0,109.0,236.0,259.0,492.0,42.0,384.0,N/A,265.0,1368.0,280.0,288.0,102.0,1061.0,31.0,852.0,950.0,34380.0,33264.0
TN,Tennessee,8684.0,388.0,3071.0,4605.0,6712.0,2646.0,1170.0,184.0,543.0,15342.0,17643.0,939.0,843.0,5347.0,3332.0,1091.0,1358.0,11114.0,2716.0,602.0,1596.0,1500.0,9910.0,2730.0,10265.0,3102.0,76.0,340.0,1217.0,304.0,2614.0,649.0,4582.0,7678.0,389.0,5335.0,1870.0,987.0,5414.0,620.0,3808.0,494.0,N/A,13699.0,979.0,312.0,6707.0,2363.0,1201.0,3232.0,159.0,204983.0,182462.0
TX,Texas,6417.0,2432.0,15251.0,13987.0,38388.0,21616.0,4926.0,619.0,1488.0,27486.0,16802.0,4291.0,2467.0,13010.0,5967.0,3814.0,8761.0,5076.0,21295.0,1866.0,5412.0,7948.0,17366.0,9904.0,7104.0,10250.0,2321.0,3322.0,4739.0,2608.0,8124.0,14283.0,23564.0,12699.0,2227.0,9406.0,27197.0,5756.0,17560.0,1722.0,6469.0,1482.0,10915.0,N/A,5852.0,756.0,14260.0,13783.0,1162.0,8108.0,2054.0,609950.0,474312.0
UT,Utah,796.0,632.0,7712.0,419.0,11497.0,4469.0,280.0,34.0,219.0,2607.0,1095.0,1025.0,6668.0,989.0,719.0,638.0,520.0,537.0,492.0,538.0,772.0,1346.0,1282.0,2282.0,201.0,1342.0,1315.0,995.0,5134.0,634.0,470.0,1247.0,2582.0,1065.0,228.0,1037.0,1320.0,3087.0,3232.0,202.0,518.0,350.0,573.0,6048.0,N/A,328.0,2036.0,5290.0,150.0,1446.0,1844.0,104556.0,90242.0
VT,Vermont,77.0,66.0,445.0,9.0,787.0,734.0,614.0,35.0,60.0,1999.0,255.0,23.0,216.0,526.0,174.0,130.0,47.0,93.0,47.0,875.0,312.0,3041.0,174.0,84.0,0.0,92.0,137.0,18.0,50.0,2882.0,337.0,98.0,2670.0,594.0,207.0,271.0,101.0,236.0,758.0,225.0,242.0,26.0,330.0,318.0,163.0,N/A,524.0,406.0,41.0,80.0,17.0,22191.0,21646.0
VA,Virginia,3290.0,769.0,4390.0,1128.0,15175.0,6469.0,5062.0,1280.0,8991.0,24948.0,11159.0,2225.0,660.0,5522.0,2489.0,771.0,1975.0,2940.0,2403.0,1232.0,22476.0,9344.0,5410.0,3768.0,1327.0,2436.0,312.0,1041.0,1705.0,1418.0,8726.0,1546.0,19338.0,29998.0,262.0,6201.0,1595.0,2002.0,22934.0,1528.0,8031.0,513.0,7339.0,17719.0,1776.0,828.0,N/A,4867.0,6413.0,3418.0,209.0,320272.0,297358.0
WA,Washington,845.0,3757.0,13785.0,790.0,33406.0,6134.0,1698.0,210.0,456.0,5425.0,2772.0,4180.0,9556.0,3554.0,1486.0,1421.0,2080.0,1669.0,1777.0,1170.0,1791.0,2930.0,4118.0,4544.0,925.0,2453.0,5144.0,691.0,4902.0,380.0,2146.0,1389.0,7008.0,3717.0,1119.0,3284.0,1744.0,24568.0,4580.0,582.0,2423.0,623.0,2026.0,10944.0,4653.0,724.0,4429.0,N/A,156.0,3134.0,1304.0,251401.0,204602.0
WV,West Virginia,373.0,50.0,552.0,148.0,933.0,499.0,282.0,124.0,351.0,3507.0,969.0,79.0,101.0,798.0,203.0,137.0,203.0,2615.0,331.0,130.0,3223.0,524.0,1080.0,718.0,330.0,452.0,38.0,47.0,198.0,530.0,830.0,85.0,1872.0,3497.0,59.0,9225.0,411.0,190.0,9596.0,34.0,1508.0,69.0,1888.0,1829.0,65.0,86.0,6283.0,405.0,N/A,234.0,36.0,55913.0,57727.0
WI,Wisconsin,502.0,288.0,5343.0,652.0,6377.0,3684.0,385.0,31.0,335.0,8244.0,2818.0,250.0,253.0,14559.0,2654.0,3855.0,449.0,1090.0,588.0,247.0,999.0,943.0,5173.0,18324.0,636.0,1749.0,591.0,524.0,1068.0,215.0,602.0,497.0,1743.0,2033.0,544.0,2049.0,1007.0,908.0,1521.0,74.0,1076.0,545.0,1638.0,5521.0,938.0,51.0,1558.0,2358.0,221.0,N/A,477.0,107421.0,108187.0
WY,Wyoming,228.0,167.0,2118.0,287.0,1608.0,4301.0,104.0,0.0,63.0,499.0,316.0,17.0,1714.0,285.0,394.0,274.0,340.0,192.0,129.0,202.0,129.0,166.0,1128.0,818.0,81.0,617.0,1346.0,852.0,847.0,30.0,116.0,260.0,590.0,379.0,615.0,130.0,307.0,1053.0,702.0,12.0,106.0,1513.0,213.0,2120.0,2692.0,114.0,151.0,706.0,54.0,468.0,N/A,31481.0,31553.0
